,Model Index,Model Number,Keep,Used,Best Match Ratio,Duplicate[0],Keep[0],Used[0],Match Ratio[0],Partial Match Ratio[0],Index[0],Duplicate[1],Keep[1],Used[1],Match Ratio[1],Partial Match Ratio[1],Index[1],Duplicate[2],Keep[2],Used[2],Match Ratio[2],Partial Match Ratio[2],Index[2]
132,132,AN-110-SW-C-5P,TRUE,TRUE,96,AN-110-SW-C-5,TRUE,TRUE,96,100,131,AN-110-SW-C-16P,TRUE,TRUE,90,86,130,AN-110-SW-F-8,TRUE,TRUE,81,85,135
3731,3731,SECURITY SPECIALTY ITEM 2,TRUE,FALSE,96,SECURITY SPECIALTY ITEM,TRUE,TRUE,96,100,3729,SECURITY SPECIALTY ITEM 3,TRUE,TRUE,96,96,3732,SECURITY SPECIALTY ITEM 4,TRUE,TRUE,96,96,3733
3738,3738,SECURITY SPECIALTY ITEM 9,TRUE,FALSE,96,SECURITY SPECIALTY ITEM,TRUE,FALSE,96,100,3729,SECURITY SPECIALTY ITEM 2,TRUE,FALSE,96,96,3731,SECURITY SPECIALTY ITEM 3,TRUE,FALSE,96,96,3732
3732,3732,SECURITY SPECIALTY ITEM 3,TRUE,TRUE,96,SECURITY SPECIALTY ITEM,TRUE,FALSE,96,100,3729,SECURITY SPECIALTY ITEM 2,TRUE,TRUE,96,96,3731,SECURITY SPECIALTY ITEM 4,TRUE,TRUE,96,96,3733
3737,3737,SECURITY SPECIALTY ITEM 8,TRUE,TRUE,96,SECURITY SPECIALTY ITEM,TRUE,TRUE,96,100,3729,SECURITY SPECIALTY ITEM 2,TRUE,TRUE,96,96,3731,SECURITY SPECIALTY ITEM 3,TRUE,FALSE,96,96,3732
3736,3736,SECURITY SPECIALTY ITEM 7,TRUE,FALSE,96,SECURITY SPECIALTY ITEM,TRUE,FALSE,96,100,3729,SECURITY SPECIALTY ITEM 2,TRUE,FALSE,96,96,3731,SECURITY SPECIALTY ITEM 3,TRUE,FALSE,96,96,3732
3733,3733,SECURITY SPECIALTY ITEM 4,TRUE,FALSE,96,SECURITY SPECIALTY ITEM,TRUE,TRUE,96,100,3729,SECURITY SPECIALTY ITEM 2,TRUE,FALSE,96,96,3731,SECURITY SPECIALTY ITEM 3,TRUE,FALSE,96,96,3732
1438,1438,QXC820PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,95.06,QX820PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,98,97,1429,QXC620PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,97,97,1434,QX520PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,95,93,1421
1434,1434,QXC620PBF-XX (CHOOSE THICKNESS),TRUE,TRUE,95.06,QX620PBF-XX (CHOOSE THICKNESS),TRUE,TRUE,98,97,1424,QXC820PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,97,97,1438,QX520PBF-XX (CHOOSE THICKNESS),TRUE,TRUE,95,93,1421
3669,3669,Male DB9 5-Position,TRUE,FALSE,95,Female DB9 5-Position,TRUE,FALSE,95,100,3639,MOTION,TRUE,FALSE,48,67,3829,SATELLITE DISTRIBUTION,TRUE,FALSE,49,50,3726
832,832,DM-NVX-351C,TRUE,FALSE,95,DM-NVX-351,TRUE,FALSE,95,100,831,DM-NVX-350C,TRUE,FALSE,91,91,830,DM-NVX-350,TRUE,FALSE,86,90,829
830,830,DM-NVX-350C,TRUE,FALSE,95,DM-NVX-350,TRUE,FALSE,95,100,829,DM-NVX-351C,TRUE,FALSE,91,91,832,DM-NVX-351,TRUE,FALSE,86,90,831
1903,1903,Z500NTOS15,TRUE,TRUE,95,Z500NTOS1,TRUE,FALSE,95,100,1901,Z500NTOS10,TRUE,TRUE,90,90,1902,Z500NTOS4,TRUE,TRUE,84,89,1904
1902,1902,Z500NTOS10,TRUE,FALSE,95,Z500NTOS1,TRUE,TRUE,95,100,1901,Z500NTOS15,TRUE,FALSE,90,90,1903,Z500NTOS4,TRUE,TRUE,84,89,1904
4603,4603,2X12'' CUSTOM WOOFER,TRUE,FALSE,95,12'' CUSTOM WOOFER,TRUE,,95,100,4599,2X10'' CUSTOM WOOFER,TRUE,FALSE,95,95,4602,10'' CUSTOM WOOFER,TRUE,FALSE,89,94,4597
4602,4602,2X10'' CUSTOM WOOFER,TRUE,FALSE,95,10'' CUSTOM WOOFER,TRUE,,95,100,4597,2X12'' CUSTOM WOOFER,TRUE,FALSE,95,95,4603,12'' CUSTOM WOOFER,TRUE,FALSE,89,94,4599
1138,1138,202-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94.09,102-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,97,97,1114,200-TES2-CHOOSE FACE PLATE FINI,TRUE,FALSE,97,97,1131,424-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94,95,1199
1136,1136,202-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,94.09,102-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1113,102-PAN2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94,95,1112,420-PAN2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94,95,1196
3664,3664,INTEGRATED REBOOT SYSTEM (TP),TRUE,FALSE,94.09,INTEGRATED REBOOT SYSTEM (KP),TRUE,FALSE,97,97,3663,IR SYSTEM,TRUE,FALSE,47,78,3126,CONTROL SYSTEM,TRUE,TRUE,51,64,3098
1164,1164,401-W-PAN-CHOOSE FACE PLATE FIN,TRUE,TRUE,94.09,400-W-PAN-CHOOSE FACE PLATE FIN,TRUE,FALSE,97,97,1156,401-W-PAN2-CHOOSE FACE PLATE FI,TRUE,TRUE,97,97,1163,411-W-PAN-CHOOSE FACE PLATE FIN,TRUE,FALSE,97,97,1185
1143,1143,203-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,94.09,103-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1119,201-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1134,102-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,94,97,1115
1146,1146,303-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,94.09,103-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1117,103-PAN2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94,95,1116,101-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,94,94,1110
1163,1163,401-W-PAN2-CHOOSE FACE PLATE FI,TRUE,FALSE,94.09,401-W-PAN-CHOOSE FACE PLATE FIN,TRUE,FALSE,97,97,1164,400-W-PAN-CHOOSE FACE PLATE FIN,TRUE,FALSE,94,94,1156,411-W-PAN-CHOOSE FACE PLATE FIN,TRUE,FALSE,94,94,1185
3361,3361,8'' Weatherproof square grille,TRUE,TRUE,94.09,6'' Weatherproof square grille,TRUE,TRUE,97,97,3358,8'' Weatherproof Round Grille,TRUE,TRUE,85,83,3360,6'' Weatherproof Round Grille,TRUE,TRUE,81,83,3357
1165,1165,401-W-VIK-CHOOSE FACE PLATE FIN,TRUE,FALSE,94.09,400-W-VIK-CHOOSE FACE PLATE FIN,TRUE,FALSE,97,97,1157,411-W-VIK-CHOOSE FACE PLATE FIN,TRUE,FALSE,97,97,1186,101-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,90,90,1111
1173,1173,404-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,94.09,401-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,97,97,1161,411-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,94,94,1184,416-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,94,94,1195
1184,1184,411-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,94.09,401-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,97,97,1161,416-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,97,97,1195,404-S12-VIK-CHOOSE FACE PLATE F,TRUE,TRUE,94,94,1173
1185,1185,411-W-PAN-CHOOSE FACE PLATE FIN,TRUE,FALSE,94.09,401-W-PAN-CHOOSE FACE PLATE FIN,TRUE,FALSE,97,97,1164,400-W-PAN-CHOOSE FACE PLATE FIN,TRUE,TRUE,94,94,1156,401-W-PAN2-CHOOSE FACE PLATE FI,TRUE,TRUE,94,94,1163
1186,1186,411-W-VIK-CHOOSE FACE PLATE FIN,TRUE,FALSE,94.09,401-W-VIK-CHOOSE FACE PLATE FIN,TRUE,FALSE,97,97,1165,400-W-VIK-CHOOSE FACE PLATE FIN,TRUE,FALSE,94,94,1157,101-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,90,90,1111
3265,3265,2 GANG DECORATOR PLATE (BLACK),TRUE,FALSE,94.09,1 GANG DECORATOR PLATE (BLACK),TRUE,TRUE,97,97,3261,2-GANG DECORA PLATE,TRUE,FALSE,73,84,3572,1-GANG DECORA PLATE,TRUE,FALSE,69,84,3552
1131,1131,200-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94.09,202-TES2-CHOOSE FACE PLATE FINI,TRUE,FALSE,97,97,1138,102-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94,97,1114,424-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94,95,1199
3360,3360,8'' Weatherproof Round Grille,TRUE,TRUE,94.09,6'' Weatherproof Round Grille,TRUE,FALSE,97,97,3357,8'' Weatherproof square grille,TRUE,FALSE,85,83,3361,6'' Weatherproof square grille,TRUE,TRUE,81,83,3358
1421,1421,QX520PBF-XX (CHOOSE THICKNESS),TRUE,TRUE,94.09,QX620PBF-XX (CHOOSE THICKNESS),TRUE,TRUE,97,97,1424,QX820PBF-XX (CHOOSE THICKNESS),TRUE,TRUE,97,97,1429,QXC620PBF-XX (CHOOSE THICKNESS),TRUE,TRUE,95,93,1434
1432,1432,QX830PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,94.09,QX820PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,97,97,1429,QXC820PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,95,93,1438,QX520PBF-XX (CHOOSE THICKNESS),TRUE,FALSE,93,93,1421
1134,1134,201-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,94.09,101-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1111,203-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1143,102-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,94,97,1115
1195,1195,416-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,94.09,401-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,97,97,1161,411-S12-VIK-CHOOSE FACE PLATE F,TRUE,FALSE,97,97,1184,404-S12-VIK-CHOOSE FACE PLATE F,TRUE,TRUE,94,94,1173
1119,1119,103-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,94.09,101-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1111,102-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1115,107-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1124
1112,1112,102-PAN2-CHOOSE FACE PLATE FINI,TRUE,FALSE,94.09,102-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1113,103-PAN2-CHOOSE FACE PLATE FINI,TRUE,FALSE,97,97,1116,420-PAN2-CHOOSE FACE PLATE FINI,TRUE,FALSE,94,95,1196
1124,1124,107-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,94.09,101-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1111,102-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1115,103-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1119
1116,1116,103-PAN2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94.09,102-PAN2-CHOOSE FACE PLATE FINI,TRUE,TRUE,97,97,1112,103-PAN-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1117,420-PAN2-CHOOSE FACE PLATE FINI,TRUE,FALSE,94,95,1196
1122,1122,106-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94.09,102-TES2-CHOOSE FACE PLATE FINI,TRUE,FALSE,97,97,1114,103-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,97,97,1118,200-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94,94,1131
1117,1117,103-PAN-CHOOSE FACE PLATE FINIS,TRUE,FALSE,94.09,101-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1110,102-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1113,103-PAN2-CHOOSE FACE PLATE FINI,TRUE,TRUE,97,97,1116
1118,1118,103-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,94.09,102-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,97,97,1114,106-TES2-CHOOSE FACE PLATE FINI,TRUE,TRUE,97,97,1122,200-TES2-CHOOSE FACE PLATE FINI,TRUE,FALSE,94,94,1131
1115,1115,102-VIK-CHOOSE FACE PLATE FINIS,TRUE,FALSE,94.09,101-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1111,103-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1119,107-VIK-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1124
1113,1113,102-PAN-CHOOSE FACE PLATE FINIS,TRUE,FALSE,94.09,101-PAN-CHOOSE FACE PLATE FINIS,TRUE,FALSE,97,97,1110,102-PAN2-CHOOSE FACE PLATE FINI,TRUE,TRUE,97,97,1112,103-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1117
1062,1062,EXT-DIGAUD-141-TX (DO NOT ORDER),TRUE,FALSE,94.09,EXT-DIGAUD-141-RX (DO NOT ORDER),TRUE,FALSE,97,97,1061,TX (DO NOT ORDER),TRUE,FALSE,69,100,1886,RX (DO NOT ORDER),TRUE,FALSE,65,94,1878
1120,1120,106-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,94.09,101-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1110,102-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1113,103-PAN-CHOOSE FACE PLATE FINIS,TRUE,TRUE,97,97,1117
1561,1561,Z-WAVE LEAK GOPHER (1.5''),TRUE,FALSE,94.08,Z-WAVE LEAK GOPHER (1.25''),TRUE,FALSE,98,96,1560,Z-WAVE LEAK GOPHER (.75''),TRUE,FALSE,96,96,1558,Z-WAVE LEAK GOPHER (1''),TRUE,FALSE,96,92,1559
1877,1877,RJ45 CAT6A SHIELDED RJ45,TRUE,FALSE,94.08,RJ45 CAT6 SHIELDED RJ45,TRUE,TRUE,98,96,1876,RJ45 CAT6,TRUE,FALSE,55,100,3719,RJ45 - CAT6A,TRUE,TRUE,56,83,3718
1797,1797,DL-HDE2100-RX (DO NOT ORDER),TRUE,TRUE,94.08,DL-HD2100-RX (DO NOT ORDER),TRUE,FALSE,98,96,1792,DL-HD2100-TX (DO NOT ORDER),TRUE,TRUE,95,93,1793,RX (DO NOT ORDER),TRUE,FALSE,76,100,1878
1301,1301,LYRIC BACKUP BATTERY/4HR,TRUE,FALSE,94.08,LYRIC BACKUP BATTERY/24HR,TRUE,TRUE,98,96,1300,12V 7AH Battery,TRUE,FALSE,51,67,3543,C BATT,TRUE,FALSE,40,83,3607
105,105,TROVE1M1R,TRUE,TRUE,94,TROVE1M1,TRUE,TRUE,94,100,104,TROVE3M3,TRUE,TRUE,71,75,106,STROBE,TRUE,TRUE,53,67,3894
719,719,C4-LU862D,TRUE,FALSE,94,C4-LU862,TRUE,FALSE,94,100,718,C4-LU642D,TRUE,FALSE,89,89,717,C4-LU1082D,TRUE,FALSE,84,78,715
3730,3730,SECURITY SPECIALTY ITEM 10,TRUE,TRUE,94,SECURITY SPECIALTY ITEM,TRUE,TRUE,94,100,3729,SECURITY SPECIALTY ITEM 2,TRUE,FALSE,94,96,3731,SECURITY SPECIALTY ITEM 3,TRUE,FALSE,94,96,3732
4493,4493,PS242000A,TRUE,FALSE,94,PS242000,TRUE,,94,100,4492,PS121000,TRUE,FALSE,71,75,4491,BP4000A4F,TRUE,FALSE,67,71,4802
4230,4230,B4-TOS-10,TRUE,FALSE,94,B4-TOS-1,TRUE,,94,100,4228,B4-TOS-1.5,TRUE,FALSE,84,89,4229,B4-TOS-2,TRUE,FALSE,82,88,4231
3762,3762,SPECIALTY ITEM 6,TRUE,TRUE,93,SPECIALTY ITEM,TRUE,FALSE,93,100,3744,SPECIALTY ITEM,TRUE,TRUE,93,100,4901,SPECIALTY ITEM 16,TRUE,TRUE,97,94,3753
3761,3761,SPECIALTY ITEM 5,TRUE,FALSE,93,SPECIALTY ITEM,TRUE,FALSE,93,100,3744,SPECIALTY ITEM,TRUE,FALSE,93,100,4901,SPECIALTY ITEM 15,TRUE,FALSE,97,94,3752
4141,4141,CUSTOM SCREEN 2,TRUE,FALSE,93,CUSTOM SCREEN,TRUE,,93,100,923,CUSTOM SCREEN,TRUE,FALSE,93,100,4140,CUSTOM,TRUE,FALSE,57,100,465
3763,3763,SPECIALTY ITEM 7,TRUE,FALSE,93,SPECIALTY ITEM,TRUE,TRUE,93,100,3744,SPECIALTY ITEM,TRUE,TRUE,93,100,4901,SPECIALTY ITEM 17,TRUE,TRUE,97,94,3754
1786,1786,DL-DA12S,TRUE,FALSE,93,DL-DA12,TRUE,FALSE,93,100,1785,DL-DA14,TRUE,TRUE,80,86,1787,DL-DA18,TRUE,TRUE,80,86,1788
3764,3764,SPECIALTY ITEM 8,TRUE,FALSE,93,SPECIALTY ITEM,TRUE,TRUE,93,100,3744,SPECIALTY ITEM,TRUE,TRUE,93,100,4901,SPECIALTY ITEM 18,TRUE,FALSE,97,94,3755
240,240,M1065-LW,TRUE,TRUE,93,M1065-L,TRUE,FALSE,93,100,239,M3105-LVE,TRUE,TRUE,71,75,254,M3104-L,TRUE,FALSE,67,71,253
1554,1554,KMOUNT-STRATO-C,TRUE,TRUE,93,KMOUNT-STRATO,TRUE,FALSE,93,100,1553,KMOUNT-TERRA,TRUE,TRUE,74,83,1555,KMOUNT-K0509-1,TRUE,TRUE,55,57,1552
4771,4771,ARCO GRILLE CMS 503-WH,TRUE,FALSE,93,ARCO GRILLE CMS 503,TRUE,,93,100,4770,ARCO GRILLE CMS 603,TRUE,FALSE,88,95,4772,NARROW GRILL,TRUE,FALSE,53,75,4876
3593,3593,AAA BATT,TRUE,FALSE,93,AA BATT,TRUE,FALSE,93,100,3592,C BATT,TRUE,FALSE,71,83,3607,D BATT,TRUE,FALSE,71,83,3616
3765,3765,SPECIALTY ITEM 9,TRUE,FALSE,93,SPECIALTY ITEM,TRUE,FALSE,93,100,3744,SPECIALTY ITEM,TRUE,TRUE,93,100,4901,SPECIALTY ITEM 19,TRUE,TRUE,97,94,3756
4686,4686,LS-R212-BOUNDARY-HG-RAL,TRUE,FALSE,92.16,LS-R210-BOUNDARY-HG-RAL,TRUE,,96,96,4679,LSR212-BOUNDARY-HG-BL,TRUE,FALSE,91,90,4685,LS-R212-BOUNDARY-HG-WH,TRUE,FALSE,89,91,4687
4600,4600,12'' SHALLOW CUSTOM WOOFER,TRUE,FALSE,92.16,10'' SHALLOW CUSTOM WOOFER,TRUE,,96,96,4598,12'' CUSTOM WOOFER,TRUE,FALSE,82,78,4599,10'' CUSTOM WOOFER,TRUE,FALSE,77,78,4597
3525,3525,>3000SQFT CPFS INSTALL LEASE,TRUE,FALSE,92.16,<3000SQFT CPFS INSTALL LEASE,TRUE,FALSE,96,96,3523,>3000SQFT CPFS INSTALL FEE,TRUE,TRUE,93,92,3524,<3000SQFT CPFS INSTALL FEE,TRUE,TRUE,89,88,3522
3786,3786,7 SPEAKER SURROUND - NO SUB,TRUE,FALSE,92.16,5 SPEAKER SURROUND - NO SUB,TRUE,,96,96,3785,SPEAKER - SURROUND,TRUE,FALSE,71,89,3177,SPEAKER - SUB,TRUE,FALSE,65,77,3176
2932,2932,500086 TX (DO NOT ORDER),TRUE,FALSE,92.16,500086 RX (DO NOT ORDER),TRUE,TRUE,96,96,2931,TX (DO NOT ORDER),TRUE,FALSE,83,100,1886,RX (DO NOT ORDER),TRUE,FALSE,78,94,1878
2748,2748,RSH4A2S DIRECTV HR54500,TRUE,FALSE,92.16,RSH4A2S DIRECTV HR24500,TRUE,TRUE,96,96,2747,RSH4A2S DIRECTV H24700,TRUE,TRUE,89,86,2743,RSH4A2S DIRECTV H25700,TRUE,TRUE,89,86,2744
2462,2462,ASHBY-8C NEW CONST BRKT KIT,TRUE,TRUE,92.16,ASHBY-5C NEW CONST BRKT KIT,TRUE,TRUE,96,96,2457,FIBER KIT,TRUE,TRUE,39,67,3874,RACK MOUNT EAR KIT 2,TRUE,FALSE,47,55,4408
4116,4116,SUR-1000 (DO NOT ORDER),TRUE,FALSE,92.16,SRB-1000 (DO NOT ORDER),TRUE,,96,96,4103,M1000 (DO NOT ORDER),TRUE,FALSE,88,95,1413,XWC-1000 (DO NOT ORDER),TRUE,FALSE,87,87,2418
222,222,COMPANION 8CH RECORDER 4TB,TRUE,FALSE,92.16,COMPANION 8CH RECORDER 2TB,TRUE,TRUE,96,96,221,COMPANION 4CH RECORDER 1TB,TRUE,TRUE,92,92,220,COMPANION CUBE L,TRUE,TRUE,57,75,225
